AI.PA,Air Liquide (Euronext Paris)
APD,Air Products
AMZN,Amazon
AMGN,Amgen
AAPL,Apple
BAS.DE,BASF SE (Frankfurt Stock Exchange)
BAYN.DE,Bayer AG (Frankfurt Stock Exchange)
BDX,"Becton, Dickinson and Company (BD)"
BP,BP (NY Stock Exchange)
BP.L,BP (London Stock Exchange)
BMY,Bristol Myers Squibb
CVX,Chevron
0386.HK,China Petroleum & Chemical (Sinopec) (Hong Kong Stock Exchange)
600028.SS,China Petroleum & Chemical (Sinopec) (Shanghai Stock Exchange)
CHD,Church & Dwight
CL,Colgate-Palmolive
COP,ConocoPhillips
DOW,Dow
DD,DuPont
EMN,Eastman Chemical Company
ECL,Ecolab
EVK.DE,Evonik Industries AG (Frankfurt Stock Exchange)
XOM,ExxonMobil
HUN,Huntsman Corporation
IFF,IFF
JNJ,Johnson & Johnson
JMAT.L,Johnson Matthey (London Stock Exchange)
K,Kellogg Company
KHC,The Kraft Heinz Company
LIN.DE,Linde (Frankfurt Stock Exchange)
LIN,Linde (NY Stock Exchange)
OR.PA,L'Oreal S.A (Euronext Paris)
LYB,LyondellBasell
MPC,Marathon Petroleum
MRK,Merck
MMM,3M
MDLZ,Mondelez International
NESN.SW,Nestle S.A. (SIX Swiss Exchange)
0857.HK,PetroChina (Hong Kong Stock Exchange)
601857.SS,PetroChina (Shanghai Stock Exchange)
PFE,Pfizer
PG,Proctor & Gamble
ROG.SW,Roche (SIX Swiss Exchange)
SHEL,Shell (NY Stock Exchange)
SHEL.L,Shell (London Stock Exchange)
4991.T,Shiseido (Tokyo Stock Exchange)
4005.T,Sumitomo Chemical (Tokyo Stock Exchange)
TGT,Target
TSLA,Tesla
4042.T,Tosoh (Tokyo Stock Exchange)
UL,Unilever
WMT,Walmart
